Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
7,54.54,,1r4,Tereza Žížalová,81,SKP České Budějovice,Praha,12.2.2000
8,54.62,,1,Helena Jiranová,95,Sokol Kolín,Praha,16.2.2014
9,55.06,,2b1,Nikola  Bendová,99,PSK Olymp Praha,Praha,4.2.2017
10,55.26,,1,Jitka Bartoničková,85,ASK Slavia Praha,Praha,22.2.2004
11,55.43,,1,Lucie  Krupařová,99,AK Olymp Brno,Praha,21.2.2016
12,55.45,,1A,Jana Šlégrová,65,Dynamo Pardubice,Praha,13.2.1983
13,55.5,,1b1,Tereza  Jonášová,98,AK Škoda Plzeň,Praha,4.2.2017
14,55.61,,2r4,Lenka Ficková,82,ŠAK Chrudim,Praha,12.2.2000
15,55.7,,1A,Martina Morawska,79,USK Praha,Praha,8.2.1998
16,55.74,,3,Michaela Rinková,86,Sokol Opava,Praha,22.2.2004
17,55.89,,2b1,Radka Lukavská,74,USK Praha,Wien,1.2.1992
18,55.92,,2A,Nikol Habrová,79,SSK Vítkovice,Praha,8.2.1998
19,55.95,,2,Alena  Symerská ,96,AK Kroměříž ,Praha,15.2.2015
20,56.09,,3b1,Jana  Slavíková,97,AC Čáslav,Wien,6.2.2016
21,56.09,,MS,Pavla Štoudková,3,AK Olymp Brno,Praha,20.1.2019
22,54.2,,2A,Ludmila Formanová,74,Slavoj Čáslav,Praha,21.2.1993
23,53.85,,3A,Alena Pekárková,64,LIAZ Jablonec n. N.,Jablonec n. N.,20.2.1983
24,54.47,,1A,Hana Benešová,75,Slavoj Čáslav,Jablonec n. N.,20.2.1994
25,54.54,,4A,Jana Šlégrová,65,Dynamo Pardubice,Jablonec n. N.,20.2.1983
26,55.29,,3A,Petra Pokorná,66,TJ Znojmo,Jablonec n. N.,19.2.1984
27,55.76,,4A,Daniela Kadlecová,68,Jiskra Havlíčkův Brod,Jablonec n. N.,9.2.1986
28,55.78,,3A,Eva Kasalová,76,AC Start Karlovy Vary,Jablonec n. N.,27.2.1994
29,55.81,,1b2,Jitka Burianová,77,AC Pardubice,Jablonec n. N.,28.1.1995
30,55.86,,2,Olga Kmochová,59,Slavia Havířov,Jablonec n. N.,26.2.1978
,,,,,,,,
Hala-Juniorky-800 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,02:05.8,,4,Andrea Šuldesová,75,Lokomotiva Břeclav,Wien,6.2.1994
2,02:08.7,,3b2,Vendula  Hluchá,97,TJ Sokol Opava,Wien,30.1.2016
3,02:08.7,,3,Tereza Čapková,87,ASK Slavia Praha,Praha,4.2.2006
4,02:09.0,,3,Veronika Plesarová,84,AC TJ Jičín,Praha,18.2.2001
5,02:09.1,,3,Romana Sanigová,75,LIAZ Jablonec n. N.,Praha,16.2.1992
6,02:09.7,,1,Lucie Sekanová,89,Sokol Č. Budějovice,Praha,17.2.2008
7,02:10.3,,6b1,Diana Mezuliáníková,92,AK Škoda Plzeň,Wien,16.2.2010
8,02:10.4,,1,Iva Jurková,66,Slov. Sl. Uh. Hradiště,Ostrava,15.1.1984
9,02:10.7,,1,Ludmila Marvánová,64,Zbrojovka Brno,Praha,6.2.1983
10,02:10.8,,4,Eva Kasalová,76,AC Start Karlovy Vary,Praha,21.2.1993
11,02:10.9,,1,Jitka Cermanová,70,LIAZ Jablonec n. N.,Praha,21.1.1989
12,02:10.9,,5,Veronika  Rosová ,96,SSK Vítkovice ,Praha,22.2.2015
13,02:11.0,,2,Lada Brázdilová,78,AK Kroměříž,Ostrava,4.2.1996
14,02:11.0,,5b1,Klára Kováříková,97,AK Škoda Plzeň,Wien,8.2.2014
15,02:11.1,,3,Jana Švejdová,70,Slovan Liberec,Praha,21.1.1989
16,02:11.1,,6,Pavla Štoudková,3,AK Olymp Brno,Ostrava,17.2.2019
17,02:11.2,,4b1,Pavlína Vondrková,81,Sokol Č. Budějovice,Praha,10.2.1999
18,02:11.2,,1r1,Kateřina Glosová,79,SK Hranice,Praha,8.2.1997
19,02:11.3,,5,Petra Pokorná,66,TJ Znojmo,Praha,27.1.1985
20,02:11.3,,1,Anna Filičková,62,TJ Vítkovice,Praha,23.2.1980
21,02:11.6,,5,Dana Šatrová,86,Sokol Č. Budějovice,Praha,22.2.2004
22,02:08.2,,7b1,Ludmila Marvánová,64,Zbrojovka Brno,Jablonec n. N.,6.2.1982
23,02:08.6,,4,Petra Pokorná,66,TJ Znojmo,Jablonec n. N.,10.2.1985
24,02:09.0,,3,Helena Zímová,70,Škoda Plzeň,Jablonec n. N.,21.2.1988
25,02:09.3,,4,Klára Fuksová,71,LIAZ Jablonec n. N.,Jablonec n. N.,21.2.1988
26,02:10.0,,5,Hana Mikalová,69,Slávia Kroměříž,Jablonec n. N.,21.2.1988
27,02:11.4,,2,Renata Prouzová,66,ODPM Náchod,Jablonec n. N.,19.2.1984
,,,,,,,,
Hala-Juniorky-1500 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,04:17.5,,1,Iva Jurková,66,Slov. Sl. Uh. Hradiště,Praha,27.1.1985
2,04:24.5,,9,Anežka Drahotová,95,USK Praha,Praha,25.2.2014
3,04:26.4,,2b1,Lada Brázdilová,78,AK Kroměříž,Praha,25.2.1996
4,04:27.0,,2,Petra Drajzajtlová,73,Agro Bohunice,Praha,10.2.1990
5,04:27.4,,3,Pavlína Vondrková,81,Sokol Č. Budějovice,Praha,21.2.1999
6,04:27.7,,2,Ludmila Marvánová,64,Zbrojovka Brno,Praha,14.2.1982
7,04:28.3,,1,Lucie Sekanová,89,Sokol Č. Budějovice,Praha,19.1.2008
8,04:30.5,,1,Valerie Kondačová,68,Sparta ČKD Praha,Praha,2.2.1986
9,04:30.5,,1,Tereza Čapková,87,ASK Slavia Praha,Praha,22.1.2006
10,04:31.5,,3,Klára Fuksová,71,LIAZ Jablonec n. N.,Praha,10.2.1990
11,04:32.2,,5,Renata Straková,81,Žďas Žďár n. S.,Praha,12.2.2000
12,04:32.3,,2,Renata Prouzová,66,ODPM Náchod,Praha,27.2.1983
13,04:32.6,,7,Adéla Hofmannová,91,A.C. Tepo Kladno,Wien,2.2.2010
14,04:32.6,,4,Renata  Vocásková ,96,Sokol Kolín,Luxembourg ,7.2.2015
15,04:32.7,,5,Martina Bařinová,90,SK Přerov,Wien,29.1.2008
16,04:32.9,,3,Anna Málková,1,SK Jeseniova,Ostrava,17.2.2019
17,04:33.2,,7,Michaela Mannová,82,TJ Dvůr Králové n. L.,Praha,12.2.2000
18,04:33.5,,4,Alice  Prokešová,99,AK Olymp Brno,Praha,18.2.2018
19,04:33.5,,1,Eliška Surmová,0,SSK Vítkovice,Ostrava,25.2.2018
20,04:33.9,,1,Helena Volná,80,SK Železárny Prostějov,Praha,28.2.1999
21,04:34.0,,1,Dagmar Šubrtová,61,AŠ Mladá Boleslav,Praha,2.2.1980
22,04:34.8,,1,Diana Mezuliáníková,92,AK Škoda Plzeň,Praha,30.1.2010
23,04:35.5,,4,Eva Tománková,84,TJ Nová Včelnice,Bratislava,2.3.2003
24,04:30.1,,3,Kateřina Čapounová,70,LIAZ Jablonec n. N.,Jablonec n. N.,8.2.1987
25,04:33.3,,1,Romana Sanigová,75,LIAZ Jablonec n. N.,Jablonec n. N.,27.2.1994
,,,,,,,,
Hala-Juniorky-3000 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,09:14.2,,5,Iva Jurková,66,Slov. Sl. Uh. Hradiště,Athinai,2.3.1985
2,09:22.1,,1,Helena Volná,80,SK Železárny Prostějov,Praha,20.2.1999
3,09:33.8,,1,Anežka Drahotová,95,USK Praha,Praha,22.2.2014
4,09:34.3,,2,Lucie Sekanová,89,Sokol Č. Budějovice,Praha,2.2.2008
5,09:39.0,,3,Martina Bařinová,90,SK Přerov,Praha,21.2.2009
6,09:42.3,,1,Pavlína Vondrková,81,Sokol Č. Budějovice,Praha,27.1.1999
7,09:43.6,,2,Lucie Sárová,88,TJ Nové Město n. Mor.,Praha,24.2.2007
8,09:46.7,,1,Lada Brázdilová,78,AK Kroměříž,Praha,24.2.1996
9,09:48.7,,2,Radka Pátková,71,Sp. N. Město n. Met.,Praha,6.2.1988
10,09:50.1,,4,Adéla Koláčková,1,AK Olymp Brno,Ostrava,16.2.2019
11,09:51.2,,6,Alice  Prokešová,99,AK Olymp Brno,Ostrava,27.2.2016
12,09:53.3,,4,Lenka Všetečková,84,Sokol SŠ Č. Budějovice,Praha,12.2.2000
13,09:54.2,,4,Tereza Čapková,87,ASK Slavia Praha,Praha,19.2.2005
14,09:55.2,,2,Lucie Křížová,87,Olympia Bruntál,Eaubonne,29.2.2004
15,09:57.7,,2,Tereza Korvasová,96,AK Hodonín,Praha,22.2.2014
16,09:58.3,,2,Irena Petříková,83,VSK Univerzita Brno,Praha,19.2.2000
17,10:00.6,,6,Tereza Novotná,92,Sokol Hradec Králové,Praha,21.2.2009
18,10:00.8,,2,Hana Pechová,87,AC Junior Brno,Praha,14.2.2004
19,10:01.0,,1,Jana Cieslarová,71,TŽ Třinec,Praha,10.2.1990
20,10:01.7,,1,Kateřina Pulgretová,99,TJ Nové Město n. Mor.,Ostrava,8.2.2017
21,10:02.7,,5,Gabriela Hnílková,75,Slezan Opava,Praha,20.2.1993
22,09:50.9,,2,Věra Nožičková,66,LIAZ Jablonec n. N.,Jablonec n. N.,18.2.1984
23,09:56.6,,1,Andrea Bergmanová,75,LIAZ Jablonec n. N.,Jablonec n. N.,13.2.1993
24,09:57.3,,2,Eva Vítková,69,LIAZ Jablonec n. N.,Jablonec n. N.,20.2.1988
25,09:59.7,,1,Jitka Krátká,74,AC Pardubice,Jablonec n. N.,22.2.1992
,,,,,,,,
Hala-Juniorky-60 m př.,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,8.26,,1A,Jitka Tesárková,65,LIAZ Jablonec n. N.,Jablonec n. N.,19.2.1984
2,8.34,,2A,Jana Petříková,67,RH Praha,Jablonec n. N.,9.2.1986
3,8.35,,P,Michaela Hejnová,80,AC Slovan Liberec,Haag,31.1.1999
4,8.35,,1,Tereza Vokálová,98,LIAZ Jablonec n. N.,Ostrava,18.2.2017
5,8.4,,1r3,Markéta  Štolová ,0,VTŽ Chomutov,Praha,17.2.2018
6,8.42,,2r2,Nikoleta Jíchová,0,ASK Slavia Praha,Ostrava,16.2.2019
7,8.44,,1,Denisa Ščerbová,86,SSK Vítkovice,Praha,14.2.2004
8,8.45,,1,Lucie Škrobáková,82,AC Čejkovice,Praha,19.2.2000
9,8.47,,1,Karolina Hlavatá,94,USK Praha,Praha,2.2.2013
10,8.49,,6,Kateřina Půhoná,1,AC TJ Jičín,Ostrava,16.2.2019
11,8.49,,7=,Andrea Zabloudilová,1,AK Olymp Brno,Ostrava,16.2.2019
12,8.5,,1,Jana Sotáková,93,AK Olymp Brno,Praha,18.2.2012
13,8.5,,4,Anna Kerbachová ,0,USK Praha,Praha,17.2.2018
14,8.51,,5r1,Nikola Špinová,76,Sokol Č. Budějovice,Wien,18.2.1995
15,8.52,,2,Iveta Prellerová,69,Slavia IPS Praha,Jablonec n. N.,8.2.1987
16,8.56,,1A,Andrea Boklažuková,74,AK Olomouc,Jablonec n. N.,22.2.1992
17,8.56,,P,Nikola Ogrodníková,90,SSK Vítkovice,Sheffield,3.2.2008
18,8.56,,2,Kateřina  Dvořáková ,97,Dukla Praha ,Praha,20.2.2016
19,8.57,,1b1,Nikol Šebestíková,94,SSK Vítkovice,Ostrava,19.1.2013
20,8.58,,2,Renata Procházková,99,TJ Spartak Třebíč,Ostrava,24.2.2018
21,8.6,,2,Veronika Janíčková,98,Spartak Třebíč,Ostrava,18.2.2017
22,8.61,,4A,Hana Váňová,67,Slovan Liberec,Jablonec n. N.,9.2.1986
23,8.62,,2,Nicoleta Turnerová,0,USK Praha,Praha,2.2.2019
24,8.63,,1,Milena Tebichová,62,RH Praha,Sofia,4.3.1979
25,8.63,,2r1,Miroslava Hrabalová,79,AK Milo Olomouc,Ostrava,2.2.1997
26,8.63,,1b2,Tereza Elena Šínová,1,Atletika Jižní Město ,Praha,20.1.2019
27,8.65,,2,Michaela Nejedlová,93,AK Olymp Brno,Praha,18.2.2012
28,8.4,,1b1,Monika Schönauerová,54,SK Slavia Praha,Praha,27.1.1973
,,,,,,,,
Hala-Juniorky-4x200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:38.6,,1,LIAZ Jablonec n. N. ,,,Ostrava,17.2.2019
2,01:39.9,,1b1,USK Praha ,,,Ostrava,25.2.2018
3,01:40.4,,3b1,AK Olymp Brno ,,,Praha,26.2.2017
4,01:41.0,,1,SSK Vítkovice  ,,,Praha,13.2.2005
5,01:41.5,,3,SK Spartak Praha 4 ,,,Praha,13.2.2000
6,01:41.6,,1b1,ASK Slavia Praha ,,,Praha,15.2.2004
7,01:41.7,,1b1,Sokol Č. Budějovice ,,,Praha,9.2.1997
8,01:42.1,,2b1,AK Škoda Plzeň ,,,Ostrava,25.2.2018
9,01:42.1,,1b1,SK Jeseniova ,,,Praha,4.2.2018
10,01:42.3,,4b1,AC Pardubice ,,,Ostrava,25.2.2018
11,01:43.4,,2b1,AC Čáslav ,,,Praha,20.2.2000
12,01:43.4,,1b1,A.C. Tepo Kladno ,,,Praha,19.2.2006
,,,,,,,,
Hala-Juniorky-pětiboj h,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4156,,2,Michaela Hejnová,80,AC Slovan Liberec,Haag,31.1.1999
2,4116,,1,Jana  Novotná ,99,AK Olymp Brno ,Praha,11.2.2017
3,4078,,4,Denisa Ščerbová,86,SSK Vítkovice,Zuidbroek,1.2.2004
4,4068,,5,Nikola Ogrodníková,90,SSK Vítkovice,Sheffield,3.2.2008
5,4059,,7,Eliška Klučinová,88,A.C. Tepo Kladno,Zaragoza,28.1.2007
6,4047,,1,Tereza Elena Šínová,1,Atletika Jižní Město ,Praha,9.2.2019
7,3998,,1,Tereza Vokálová,98,LIAZ Jablonec n. N.,Praha,13.2.2016
8,3921,,2,Barbora  Zatloukalová ,97,AK Olomouc ,Praha,13.2.2016
9,3907,,9,Zuzana Hejnová,86,LIAZ Jablonec n. N.,Zuidbroek,1.2.2004
10,3901,,1,Kateřina Nekolná,75,USK Praha,Praha,27.2.1993
11,3887,,1,Hana Doleželová,79,TJ Valašské Meziříčí,Praha,30.1.1998
12,3866,,2,Anna Kerbachová ,0,USK Praha,Praha,10.2.2018
13,3824,,1,Marie Burešová,85,A.C. Sparta Praha,Praha,27.2.2004
14,3819,,1,Lucie Ondraschková,89,Sokol Opava,Praha,9.2.2008
15,3804,,3,Helena Vinařová,74,AK Škoda Plzeň,Praha,8.2.1992
16,3804,,1,Nikola Špinová,76,Sokol Č. Budějovice,Praha,5.3.1995
17,3781,,2,Linda Suchá,1,AK Škoda Plzeň,Jablonec n. N.,13.1.2019
18,3754,,4,Hana Inderková,73,VŠ Praha,Praha,4.2.1989
19,3753,,2,Sára Zámečníková,1,AC Pardubice,Praha,9.2.2019
20,3752,,1,Tereza Vytlačilová,95,Atletika Polička,Praha,8.2.2014
21,3741,,3,Kateřina Tamchynová,1,AC Pardubice,Praha,9.2.2019
22,3734,,2,Michaela Broumová,95,SK N. Město n. Met.,Praha,8.2.2014
23,3715,,1,Petra Šindelářová,83,AC TJ Jičín,Praha,10.2.2002
24,3714,,2,Barbora Špotáková,81,ASK Slavia Praha,Praha,14.2.1999
25,3703,,1,Radka Lovečková,72,Lokomotiva Olomouc,Praha,24.2.1990
26,3928,,2,Barbora Špotáková,81,ASK Slavia Praha,Jablonec n. N.,16.1.2000
27,3798ex,,–,Šárka Beránková,78,PSK Olymp Praha,Praha,19.1.1997
,,,,,,,,
Hala-Juniorky-koule 4kg,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,16.56,,2,Eva Čerňanová,71,TJ Vítkovice,Ostrava,5.1.1990
2,15.67,,2,Soňa Vašíčková,62,RH Praha,Jablonec n. N.,7.2.1981
3,15.53,,2A,Renata Bruková,70,TJ Vítkovice,Jablonec n. N.,28.1.1989
4,15.35,,1,Dagmar Pešáková,72,Lokomotiva Olomouc,Praha,10.2.1990
5,15.29,,2,Hana Mísařová,67,RH Praha,Praha,18.1.1986
6,15.1,,2,Kamila Hlaváčová,82,ŠAK SG Jablonec n. N.,Jablonec n. N.,27.1.2001
7,15.07,,1,Petra Jurášková,73,TJ Vítkovice,Praha,1.2.1992
8,14.99,,1,Markéta Červenková,91,Slavoj Stará Boleslav,Praha,21.2.2010
9,14.78,,2,Iveta Kudrnová,66,RH Praha,Praha,13.2.1985
10,14.75,,1,Vladimíra Srbová,49,Slavia Univ. Olomouc,Jablonec n. N.,10.3.1968
11,14.57,,2,Věra Pospíšilová,78,A.C. Kablo Kladno,Praha,26.2.1997
12,14.56,,1,Lucie Vrbenská,77,ASK Slavia Praha,Praha,21.1.1996
13,14.52,,2,Helena Fibingerová,49,VŽKG Vítkovice,Jablonec n. N.,22.2.1968
14,14.51,,1,Lada Cermanová,98,LIAZ Jablonec n. N.,Jablonec n. N.,8.2.2017
15,14.42,,1,Denisa Přečková,0,SSK Vítkovice,Ostrava,25.2.2018
16,14.34,,1,Kateřina Šafránková,89,Sokol Kolín,Praha,17.2.2008
17,14.3,,1,Lucie Vaníčková,86,ŠSK ZŠ Jablonné v P.,Praha,13.2.2005
18,14.25,,1,Lenka Ledvinová,85,Jiskra Domažlice,Praha,15.2.2004
19,14.24,,1,Zdeňka Černá,65,Dynamo ZČE Plzeň,Praha,5.3.1983
20,14.18,,1,Markéta Kačírková,81,A.C. Sparta Praha,Praha,1.2.2000
21,14.14,,1,Lenka Procházková,86,A.C. Tepo Kladno,Jablonec n. N.,2.2.2005
,,,,,,,,
Hala-Juniorky-dálka,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6.64,,1,Denisa Ščerbová,86,SSK Vítkovice,Bratislava,6.2.2005
2,6.54,,1,Eva Kuchtová,65,Škoda Plzeň,Praha,26.2.1983
3,6.39,,3,Jarmila Nygrýnová,53,Škoda Plzeň,Grenoble,12.3.1972
4,6.28,,1,Jitka Kubová,74,TJ Svitavy,Praha,16.2.1992
5,6.23,,1,Helena Vinařová,74,AK Škoda Plzeň,Jablonec n. N.,22.2.1992
6,6.21,,1,Emily  Gerulová ,97,SSK Vítkovice ,Praha,31.1.2015
7,6.2,,2,Renata Staňová,67,LIAZ Jablonec n. N.,Jablonec n. N.,19.2.1984
8,6.19,,6,Miroslava Kulišová,65,Zbrojovka Brno,Jablonec n. N.,20.2.1983
9,6.18,,1,Veronika Šádková,96,SSK Vítkovice,Praha,22.2.2014
10,6.13,,2,Daniela Volná,2,AC TJ Jičín,Jablonec n. N.,19.1.2019
11,6.12,,1,Adéla Záhorová,99,TJ VS Tábor,Jablonec n. N.,9.1.2018
12,6.11,,1,Daniela Caldová,75,Lokomotiva Děčín,Praha,25.1.1992
13,6.09,,1,Vanda Nováková,58,Lokomotiva Olomouc,Jablonec n. N.,31.1.1976
14,6.09,,3,Veronika Navrátíková,83,TŽ Třinec,Praha,18.2.2001
15,6.09,,1,Eliška Klučinová,88,A.C. Tepo Kladno,Praha,17.2.2007
16,6.08,,4,Sofia Gribovová,62,Škoda Plzeň,Jablonec n. N.,31.1.1981
17,6.08,,P,Tereza Vokálová,98,LIAZ Jablonec n. N.,Praha,13.2.2016
18,6.07,,2,Jitka Tesárková,65,LIAZ Jablonec n. N.,Jablonec n. N.,28.2.1982
19,6.05,,7,Šárka Hanzlíčková,63,LIAZ Jablonec n. N.,Jablonec n. N.,6.2.1982
20,6.04,,2,Eva Doležalová,79,Lokomotiva Břeclav,Praha,25.2.1996
21,6.03,,3,Jana Zapadlová,73,LIAZ Jablonec n. N.,Praha,16.2.1992
22,6.03,,1,Michaela Hejnová,80,AC Slovan Liberec,Praha,27.2.1999
23,6.03,,1,Jana Novotná,99,AK Olymp Brno,Ostrava,18.2.2017
,,,,,,,,
Hala-Juniorky-trojskok,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,13.05,,6,Eva Doležalová,79,Lokomotiva Břeclav,Ostrava,29.1.1998
2,12.91,,1A,Emma Maštalířová,0,SK Jeseniova,Praha,3.2.2019
3,12.79,,3,Gabriela Vaculová,85,RAK Borovany,Praha,21.2.2004
4,12.71,,2,Renata Černá,73,AC Bella Brno,Praha,15.2.1992
5,12.71,,1,Adéla Záhorová,99,TJ VS Tábor,Ostrava,25.2.2018
6,12.6,,4,Monika Turanská,79,SK SŠ Brno,Praha,22.2.1997
7,12.54,,1,Karolína Jirmanová,98,Dukla Praha,Ostrava,19.2.2017
8,12.51,,4,Lucie Májková,88,ACP Olymp Brno,Bratislava,11.2.2007
9,12.5,,3,Veronika Navrátíková,83,TŽ Třinec,Praha,16.2.2002
10,12.48,,1,Ilona Klimasová,80,TŽ Třinec,Praha,8.2.1998
11,12.42,,3,Klára Michalská,93,AK Olymp Brno,Jablonec n. N.,28.1.2012
12,12.39,,2,Lucie Ondraschková,89,Sokol Opava,Praha,27.1.2007
13,12.33,,1,Eva Vaidová,85,AK Olomouc,Praha,24.2.2002
14,12.33,,1,Anna Švecová,94,Sokol Č. Budějovice,Praha,24.2.2013
15,12.32,,1,Jana Mrózková,82,TŽ Třinec,Praha,25.2.2001
16,12.31,,5,Hana Rydvalová,82,TJ Desná,Praha,20.2.1999
17,12.29,,6,Petra Vachatová,88,A.C. Tepo Kladno,Praha,19.2.2005
18,12.28,,1,Petra Fadrná,73,Sokol Brno I,Brno,9.3.1991
19,12.28,,3,Lucie Červenková,99,SSK Vítkovice,Ostrava,19.2.2017
20,12.24,,4,Kristýna Malířová,99,ASK Lovosice,Ostrava,19.2.2017
,,,,,,,,
Hala-Juniorky-tyč,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4.4,,2,Amálie  Švábíková ,99,USK Praha,Praha,26.2.2017
2,4.26,,1,Rebeka Šilhanová,95,AK Olymp Brno,Wien,28.1.2014
3,4.25,,2,Kateřina Baďurová,82,USK Praha,Praha,17.2.2001
4,4.11,,1,Jiřina Ptáčníková,86,USK Praha,Eaubonne,29.2.2004
5,4.03,,5A ,Zuzana  Pražáková ,97,Sokol Kolín,Praha,17.2.2016
6,4.01,,2,Nikola  Pöschlová ,98,A.C. Tepo Kladno ,Ostrava,18.2.2017
7,3.95,,2B,Tereza  Schejbalová ,0,AK Škoda Plzeň ,Praha,13.2.2018
8,3.92,,2,Kateřina Bartakovičová,0,AC Pardubice,Ostrava,24.2.2018
9,3.91,,2,Sabina  Pöschlová ,97,A.C. Tepo Kladno ,Praha,19.12.2014
10,3.9,,2,Lucie Palasová,81,USK Praha,Praha,19.2.2000
11,3.9,,3,Michaela Boulová,81,USK Praha,Praha,19.2.2000
12,3.9,,3,Eliška Vaníčková,86,SK ZŠ Jablonné v P.,Praha,19.2.2005
13,3.85,,2A,Veronika Šebáková,2,ASK Slavia Praha,Praha,2.2.2019
14,3.82,,2,Barbora Stejskalová,85,USK Praha,Praha,1.2.2004
15,3.82,,1,Aneta Morysková,92,USK Praha,Praha,26.2.2011
16,3.81,,1,Romana Maláčová,87,USK Praha,Praha,18.2.2006
17,3.81,,3,Andrea Duchoňová,99,ASK Slavia Praha,Ostrava,18.2.2017
18,3.8,,3,Petra Kozelková,91,Sokol Opava,Praha,22.2.2009
19,3.77,,1,Michaela Nosková,90,AC Pardubice,Praha,16.2.2008
20,3.77,,2,Nikola Pikartová,89,AK Olomouc,Praha,16.2.2008
21,3.76,,3,Terezie Kudrnová,90,SK Spartak Praha 4,Praha,31.1.2009
22,3.75,,1,Zuzana Šustáková,0,Sokol Opava,Ostrava,3.2.2018
23,3.72,,1,Anna Cílková,93,SK Spartak Praha 4,Praha,18.2.2012
,,,,,,,,
Hala-Juniorky-výška,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,1.95,,1,Michaela  Hrubá ,98,JAC Brno ,Praha,20.2.2016
2,1.9,,1,Šárka Kašpárková,71,Zbrojovka Brno,Čejkovice,7.3.1989
3,1.89,,1B,Klára Krejčiříková,2,AK Olymp Brno,Hustopeče,26.1.2019
4,1.88,,4,Šárka Nováková,71,Zbrojovka Brno,Wien,21.2.1990
5,1.87,,1,Barbora Laláková,81,SK Spartak Praha 4,Praha,19.2.2000
6,1.86,,2,Romana Bělocká,78,SSK Vítkovice,Pardubice,18.1.1997
7,1.86,,1,Oldřiška Marešová,86,Lovochemie Lovosice,Essing,4.1.2004
8,1.86,,2,Lada  Pejchalová ,98,Lokomotiva Trutnov ,Ostrava,18.2.2017
9,1.84,,4,Věra Skotnická,62,Bohemians ČKD Praha,Ústí n. L.,14.2.1979
10,1.84,,3,Petra Lašková,77,SCHZ Lovosice,Pardubice,3.2.1996
11,1.84,,1,Magdalena Nová,92,SSK Vítkovice,Praha,26.2.2011
12,1.84,,2B,Bára Sajdoková,1,TJ TŽ Třinec,Hustopeče,26.1.2019
13,1.82,,1,Věra Bradáčová,55,Sparta ČKD Praha,Jablonec n. N.,18.2.1972
14,1.82,,1,Yvona Tichopádová,64,RH Praha,Jablonec n. N.,27.2.1982
15,1.82,,1,Bohdana Věncková,69,Zbrojovka Brno,Praha,18.1.1986
16,1.82,,2,Jitka Hyjánková,71,RH Praha,Praha,31.1.1988
17,1.82,,1,Alica Checová,69,Zbrojovka Brno,Havířov,5.3.1988
18,1.81,,1,Jitka Moudrá,85,AC Start Karlovy Vary,Praha,22.2.2003
19,1.81,,1,Michaela  Galuszková ,98,TJ Desná ,Banská Bystrica ,4.2.2015
20,1.8,,2,Zdeňka Boukalová,61,Sparta ČKD Praha,Jablonec n. N.,11.2.1979
21,1.8,,2=,Ivana Geržová,63,TJ Krnov,Jablonec n. N.,7.2.1981
22,1.8,,2,Ljuba Romaňáková,69,Zbrojovka Brno,Praha,18.1.1986
23,1.8,,1,Jitka Šamšulová,71,Zbrojovka Brno,Valašské Meziříčí,25.2.1989
24,1.8,,1,Šárka Náměstková,74,Start Karlovy Vary,Praha,3.2.1990
25,1.8,,2,Zuzana Kováčiková,73,A.C. Sparta Praha,Pardubice,7.3.1992
26,1.8,,2,Lucie Kohútová,83,Kordárna Velká n. Vel.,Brno,
27,1.8,,1,Ivana Dupalová,84,ACP Junior Brno,Hustopeče,18.1.2002
28,1.8,,1,Markéta Součková,86,JAC Brno,Brno,11.1.2004
29,1.8,,6,Iva Moravcová,85,JAC Brno,Brno,19.2.2004
30,1.8,,1,Hana Pecková,88,USK VŠEM Ústí n. L.,Dresden,10.2.2007
31,1.8,,1B ,Eliška  Buchlovská ,98,JAC Brno ,Hustopeče ,24.1.2015
32,1.8,,1,Denisa Pešová,1,Sokol Kolín,Banská Bystrica ,8.2.2019
,,,,,,,,
Hala-Juniorky-chůze 3000m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,12:46.0,,5,Kamila Holpuchová,73,USK Praha,Budapest,12.2.1992
2,13:08.6,,1,Anežka Drahotová,95,USK Praha,Praha,10.2.2013
3,13:38.2,,2,Renata Sládečková,74,USK Praha,Praha,20.2.1993
